               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.021928,            0.022933,           0.0012835,             0.75926,             0.72442,             0.77191,             0.48551,            0.025482,            0.024178,           0.0028572,             0.00307,             0.00307,             0.00307
                  72,            0.022114,            0.023926,           0.0013966,             0.74099,             0.74822,             0.75927,             0.49302,            0.024683,            0.023401,           0.0040523,            0.002971,            0.002971,            0.002971
                  73,            0.021155,            0.023065,           0.0014452,             0.73501,             0.70724,             0.74004,             0.48563,            0.024402,             0.02352,           0.0038319,            0.002872,            0.002872,            0.002872
                  74,            0.021251,             0.02285,           0.0013442,             0.83645,             0.75998,             0.77452,             0.48932,             0.02532,            0.024267,           0.0031015,            0.002773,            0.002773,            0.002773
                  75,            0.021786,            0.023162,           0.0012147,             0.74269,             0.79361,             0.76865,             0.49854,            0.024987,             0.02421,           0.0035192,            0.002674,            0.002674,            0.002674
                  76,            0.021359,            0.023397,            0.001198,             0.74318,             0.74904,             0.75757,             0.49691,            0.025005,            0.023971,           0.0039369,            0.002575,            0.002575,            0.002575
                  77,            0.021144,            0.022195,           0.0012654,             0.68987,             0.74639,             0.75243,             0.48373,            0.025019,            0.024181,           0.0034306,            0.002476,            0.002476,            0.002476
                  78,            0.020874,            0.023013,           0.0011209,             0.75139,             0.71506,             0.75066,              0.4877,            0.024523,            0.023901,            0.003544,            0.002377,            0.002377,            0.002377
                  79,            0.021236,            0.022678,           0.0013838,             0.79406,              0.7259,             0.77191,              0.4989,            0.024729,             0.02437,           0.0033798,            0.002278,            0.002278,            0.002278
                  80,            0.021052,            0.020803,           0.0012545,              0.7909,             0.73628,             0.76108,              0.4883,            0.024892,            0.024297,           0.0035866,            0.002179,            0.002179,            0.002179
                  81,            0.020465,            0.022432,           0.0011155,             0.77257,             0.74053,             0.75345,             0.49356,             0.02509,            0.024267,           0.0043528,             0.00208,             0.00208,             0.00208
                  82,             0.02032,            0.022213,           0.0012334,             0.74942,             0.76257,             0.75556,             0.48902,            0.024972,            0.024499,           0.0040214,            0.001981,            0.001981,            0.001981
                  83,            0.020905,            0.023159,           0.0011177,             0.71073,             0.78396,             0.75934,             0.48633,            0.025466,            0.024414,            0.003656,            0.001882,            0.001882,            0.001882
                  84,            0.020391,            0.022701,          0.00098964,             0.67875,             0.77045,              0.7415,             0.48802,             0.02467,             0.02429,            0.003925,            0.001783,            0.001783,            0.001783
                  85,            0.020263,            0.022636,          0.00089751,             0.78653,             0.69886,             0.75132,             0.49387,            0.024705,             0.02463,           0.0042799,            0.001684,            0.001684,            0.001684
                  86,            0.020252,            0.022462,           0.0011146,             0.78514,             0.70031,             0.76105,             0.49293,            0.024679,            0.024299,           0.0037622,            0.001585,            0.001585,            0.001585
                  87,            0.019888,            0.021704,           0.0010728,             0.69799,              0.7752,             0.75819,             0.49127,            0.024781,            0.024236,           0.0038404,            0.001486,            0.001486,            0.001486
                  88,            0.020061,            0.022995,          0.00093649,             0.78511,             0.70563,             0.74815,             0.48705,            0.024759,            0.024193,            0.003966,            0.001387,            0.001387,            0.001387
                  89,            0.019894,            0.021371,           0.0010318,             0.77289,             0.67041,              0.7365,             0.48128,            0.024703,            0.024295,           0.0041149,            0.001288,            0.001288,            0.001288
                  90,            0.019826,            0.022869,          0.00095544,             0.68411,             0.73664,             0.73958,             0.48259,            0.024401,            0.024392,           0.0040754,            0.001189,            0.001189,            0.001189
                  91,            0.019453,            0.021341,           0.0010476,             0.78713,             0.68556,             0.73771,             0.48253,             0.02463,            0.024525,           0.0039014,             0.00109,             0.00109,             0.00109
                  92,            0.019859,            0.022159,          0.00095094,             0.84317,             0.67319,             0.74443,             0.48503,            0.024592,            0.024467,           0.0038049,            0.000991,            0.000991,            0.000991
                  93,            0.019527,            0.022297,          0.00096531,              0.7423,             0.74957,             0.75836,             0.49203,            0.024816,            0.024447,           0.0037789,            0.000892,            0.000892,            0.000892
                  94,            0.019754,            0.022677,           0.0010631,             0.84068,             0.66311,              0.7456,             0.48908,            0.024697,            0.024642,           0.0038521,            0.000793,            0.000793,            0.000793
                  95,            0.019741,            0.022913,          0.00090735,             0.79101,             0.70755,             0.74743,             0.48792,            0.024656,            0.024602,           0.0039044,            0.000694,            0.000694,            0.000694
                  96,            0.019324,             0.02208,          0.00098136,             0.76894,             0.71449,             0.74654,             0.48783,            0.024633,            0.024511,           0.0039439,            0.000595,            0.000595,            0.000595
                  97,             0.01947,            0.022137,          0.00093843,             0.82266,             0.67085,             0.75138,             0.48931,            0.024843,            0.024545,           0.0039392,            0.000496,            0.000496,            0.000496
                  98,            0.019411,            0.021722,          0.00091611,             0.71183,              0.7501,             0.75713,             0.49258,            0.024855,            0.024753,           0.0039246,            0.000397,            0.000397,            0.000397
                  99,            0.019605,            0.021751,           0.0010318,             0.71593,             0.75224,             0.75793,             0.49292,             0.02468,            0.024733,           0.0038567,            0.000298,            0.000298,            0.000298
